codeFleet,depot_id,hours_service,model_code,line_code,manufacturer,overhaulLast,id_unit,year_commission,region_install,serial_number,ownerOperator,duty_class
FA,17,13104.90000,XC-7,L4,"Henson, Walker and Pruitt",2018-12-29,21,2021,Caldas da Rainha,TN-2495-01689,Zobel,L
FC,93,13172.20000,XC-7,L4,Kraushaar GbR,2015-05-18,22,2021,Loulé,RP-7087-39877,Mangold GbR,H
FA,26,9550.80000,APU-15,L4,Heinrich,"06/28/2024, 00:00:00",23,2022,Moniqueside,IV-6834-45032,Amorim,1
FD,44,10502.60000,APU-15,L1,Hövel Jopich KG,17 Nov 2021,24,2021,Amarante,FH-5753-48033,Trapp Langern OHG mbH,H
FB,25,11172.80000,XC-7,L5,Schenk GmbH,2018-03-29,25,2021,Christinehaven,NP-5998-23548,Stroh,light
FB,119,26191.30000,APU-15,L1,"Rivers, Welch and Hood",2018/03/25,26,2017,Genthin,KH-3933-15840,"Barker, Henson and Neal",light
FB,32,7062.70000,APU-20,L4,Trapp Langern OHG mbH,"03/01/2015, 00:00:00",27,2022,Naila,SJ-6556-36188,Kraushaar GbR,light
FC,3,32545.40000,APU-15,L3,"Carter, Kim and Allen",2022-10-06,28,2015,Caldas da Rainha,CU-0218-30866,"Moore, Kennedy and Berger",light
FC,19,15715.60000,XC-7,L5,Roy and Sons,2024/07/19,29,2020,Caldas da Rainha,EP-6730-78082,Kraushaar GbR,light
FA,20,3459.90000,APU-20,L6,Rädel Löwer AG,2024-11-04,30,2024,Chaves,FB-2363-54115,Trapp Langern OHG mbH,L
FD,61,4261.90000,XC-7,L1,"Carter, Kim and Allen","05/12/2017, 00:00:00",31,2023,Bad Freienwalde,GM-4146-57687,Trevino-Turner,N
FA,62,21739.70000,APU-12,L1,"Becker, Sanchez and Crawford","05/23/2020, 00:00:00",32,2018,Cartaxo,BP-5571-01479,Heinrich,1
FD,116,3015.70000,APU-15,L6,Mangold GbR,12 Sep 2018,33,2024,Harrisbury,MU-1937-34231,Christoph GmbH,3
FE,52,22613.90000,XC-7,L4,Reinhardt,2018/08/30,34,2018,New Danielshire,AV-1935-96734,Johnson-Garrett,N
FA,33,11588.70000,APU-12,L2,Pinho Lopes Lda.,2018-03-16,35,2021,Caldas da Rainha,PR-1889-18021,"Moore, Kennedy and Berger",L
FB,89,,APU-15,L3,Mangold GbR,"05/28/2015, 00:00:00",36,2020,Moniqueside,GW-3321-59003,Hofmann Bender GmbH,1
FA,64,5929.60000,APU-20,L4,Zobel,2022-12-03,37,2023,Caldas da Rainha,OQ-8807-23724,Heinrich,N
FB,58,32635.60000,XC-7,L4,"Barker, Henson and Neal",13 Feb 2019,38,2015,Nürtingen,JX-9417-72120,"Hernandez, Malone and Smith",normal
FC,1,42149.10000,APU-12,L5,Hermighausen Weinhold AG & Co. KG,"05/16/2018, 00:00:00",39,2012,Lake Amy,QF-7995-62386,Teixeira,1
FE,63,15541.30000,XC-7,L4,Silva,28 Nov 2023,40,2020,Johnnymouth,VG-5393-93448,Teixeira,1
FD,62,9532.30000,APU-12,L6,Huhn KGaA,2015-07-23,41,2022,São João da Madeira,LJ-8496-44902,Macedo Faria e Filhos,1
FD,69,7053.20000,APU-20,L3,James PLC,"01/23/2017, 00:00:00",42,2022,Youngfort,ED-5741-42665,Kraushaar GbR,1
FB,72,7269.10000,APU-15,L5,Mangold GbR,03 Dec 2018,43,2022,South Renee,BM-3367-86869,Silva, N 
FC,58,6664.60000,APU-15,L6,Leal Freitas S/A,2016-11-10,44,2023,Caldas da Rainha,KQ-0202-93985,Hermighausen Weinhold AG & Co. KG,3
FE,79,7197.40000,APU-15,L5,Roy and Sons,17 May 2021,45,2022,South Sabrina,RZ-1097-15037,Rogner KG,med
FD,36,9414.50000,APU-12,L2,Huhn KGaA,2022-08-02,46,2022,Nürtingen,KN-0431-02330,Trapp Langern OHG mbH,2
FB,86,14419.20000,APU-20,L4,Trevino-Turner,"05/08/2020, 00:00:00",47,2020,Almada,KC-5757-82538,Rogner KG,3
FD,57,5564.40000,APU-15,L2,Pinho Lopes Lda.,2024-06-07,48,2023,Trancoso,KK-6855-29000,Silva,3
FB,82,3295.30000,XC-7,L1,Faria,2015-10-23,49,2024,Vila Real,DG-5968-50677,Schenk GmbH,heavy
FD,84,17955.20000,APU-12,L5,Hermighausen Weinhold AG & Co. KG,2021-06-10,50,2019,Ochsenfurt,XQ-9841-36901,Zobel,3
FD,102,7904.10000,XC-7,L4,"Henson, Walker and Pruitt",09 Aug 2024,51,2022,Hensleyville,KM-2419-23051,Stroh,H
FC,48,4688.00000,APU-20,L3,Pinho Lopes Lda.,12 Jul 2023,52,2023,Fiães,MY-0729-84344,Macedo Faria e Filhos,med
FD,96,11505.70000,APU-12,L3,Reinhardt,25 Jul 2016,53,2021,Amarante,UV-7542-45731,Pinho Lopes Lda.,H
FA,49,27408.30000,XC-7,L5,Christoph GmbH,2015-01-08,54,2017,Caldas da Rainha,DK-4048-54155,Johnson-Garrett,normal
FE,101,21836.70000,APU-20,L4,Faria,2015-05-09,55,2018,Biedenkopf,OR-0252-02465,Hofmann Bender GmbH,heavy
FA,18,20133.40000,APU-20,L4,Amorim,2021-12-14,56,2019,Biedenkopf,WC-6768-27930,"Hernandez, Malone and Smith",L
FD,55,6097.30000,XC-7,L4,Heinrich,2020/01/16,57,2023,Port Alanside,ZK-0782-06936,Gutknecht Stiftung & Co. KG,normal
FB,28,11809.30000,XC-7,L3,Silva,18 Dec 2015,58,2021,Fiães,DQ-8706-22685,Mangold GbR,H
FB,4,17597.20000,APU-15,L2,Rogner KG,"06/09/2018, 00:00:00",59,2019,Cartaxo,KN-0340-54919,Heinrich,light
FD,27,5683.10000,APU-15,L1,Gutknecht Stiftung & Co. KG,28 Nov 2019,60,2023,Angermünde,OK-8736-94252,Gutknecht Stiftung & Co. KG,1
FD,88,5675.20000,XC-7,L2,Silva,"04/09/2022, 00:00:00",61,2023,Moura,DD-4956-06933,Zobel,heavy
FB,60,12865.00000,APU-15,L2,Christoph GmbH,2017-05-28,62,2021,Leeberg,JG-4255-49674,Ribeiro,med
FD,99,9860.60000,APU-15,L6,Rädel Löwer AG,"07/19/2019, 00:00:00",63,2022,Kusel,JE-1168-07803,Stroh,3
FA,78,3778.60000,APU-12,L6,Heinrich,2016/10/18,64,2023,Klötze,BY-3954-39566,Rädel Löwer AG,heavy
FC,99,12571.50000,APU-12,L4,Kraushaar GbR,31 Jul 2023,65,2021,Leeberg,JQ-1216-75061,Macedo Faria e Filhos,L
FA,50,26852.90000,APU-20,L5,Christoph GmbH,2018-06-13,66,2017,Ebersberg,YL-7759-01899,Heinrich,L
FD,57,6982.30000,APU-20,L2,"Moore, Kennedy and Berger",2018-12-04,67,2023,Gifhorn,YS-7023-69969,Rogner KG,med
FD,31,21101.60000,XC-7,L2,Kraushaar GbR,22 Dec 2016,68,2018,Tondela,FU-4008-20570,Reinhardt,1
FD,35,2271.60000,APU-15,L2,Hermighausen Weinhold AG & Co. KG,2016/07/07,69,2024,Angermünde,YX-5522-91868,"Rivers, Welch and Hood",H
FE,84,12038.20000,APU-15,L4,Rogner KG,2016-11-14,70,2021,Torres Vedras,AQ-6406-69666,Mitschke, light 
FE,98,,APU-12,L5,James PLC,"08/26/2021, 00:00:00",71,2023,Fiães,RT-5715-23127,Macedo Faria e Filhos, H 
FC,37,9029.30000,APU-20,L4,Allen-Ferguson,30 Dec 2016,72,2022,New Danielshire,GF-3753-69687,Heinrich,light
FE,19,13472.70000,APU-20,L4,Mitschke,"06/29/2019, 00:00:00",73,2021,Vila Real,ND-7898-10797,Trevino-Turner, 2 
FA,16,8724.80000,XC-7,L3,Reinhardt,2015-08-13,74,2022,Lourosa,KM-5051-78945,"Gibbs, Scott and Moore",light
FD,102,9878.30000,APU-15,L5,Silva,09 Oct 2024,75,2022,Klötze,LV-4632-22791,Ribeiro,H
FA,76,22049.50000,APU-12,L6,"Barker, Henson and Neal",2018/09/22,76,2018,Schleiz,UF-7276-82547,Schenk GmbH,2
FA,16,5698.20000,APU-15,L5,Trevino-Turner,"02/02/2024, 00:00:00",77,2023,Trancoso,AB-8080-14406,Rädel Löwer AG,light
FB,17,7243.30000,APU-15,L5,Pinto Gaspar S.A.,"02/11/2015, 00:00:00",78,2022,Biedenkopf,KD-3117-87142,"Becker, Sanchez and Crawford",light
FE,103,10237.00000,APU-12,L2,Gutknecht Stiftung & Co. KG,2020/01/07,79,2022,São João da Madeira,NT-0590-18882,Leal Freitas S/A, heavy 
FD,5,15196.30000,APU-15,L1,Pinto Gaspar S.A.,"04/25/2021, 00:00:00",80,2020,Regen,ZQ-8354-12759,Trapp Langern OHG mbH, L 
FA,58,11169.40000,APU-15,L3,Amorim,13 Jan 2019,81,2021,Nürtingen,LM-2294-19577,Leal Freitas S/A,N
FB,43,43880.10000,APU-15,L3,"Henson, Walker and Pruitt",2018-11-25,82,2012,Tondela,XW-9433-34418,Johnson-Garrett,normal
FB,119,5296.10000,XC-7,L5,Pinto Gaspar S.A.,16 Aug 2020,83,2023,Lourosa,YI-9240-83668,Kraushaar GbR, L 
FB,66,5444.00000,APU-15,L5,Rädel Löwer AG,"07/16/2017, 00:00:00",84,2023,Bad Freienwalde,YF-9454-51031,Walker Ltd,heavy
FA,62,37214.30000,APU-20,L6,Gutknecht Stiftung & Co. KG,20 Jan 2021,85,2014,Port Alanside,CM-2406-31761,Zobel,med
FE,42,11843.00000,XC-7,L3,Ribeiro,2015-02-27,86,2021,Regen,XU-7819-42089,Hermighausen Weinhold AG & Co. KG,normal
FA,87,5483.40000,APU-15,L2,Hofmann Bender GmbH,2017/03/09,87,2023,Harrisbury,HF-2999-67127,Huhn KGaA,L
FE,46,17054.10000,APU-15,L5,Stroh,"11/01/2023, 00:00:00",88,2020,Trancoso,MW-2393-01109,Kraushaar GbR, med 
FA,51,12396.90000,APU-12,L2,Leal Freitas S/A,2019-05-02,89,2021,Johnfort,TG-5150-94467,Leal Freitas S/A,med
FA,110,14853.90000,APU-20,L6,"Becker, Sanchez and Crawford","08/29/2016, 00:00:00",90,2020,Barbarachester,EX-7095-38241,Rädel Löwer AG,3
FA,13,9442.30000,APU-12,L2,"Barker, Henson and Neal",02 Dec 2019,91,2022,Port Alanside,UM-2770-07347,Pinho Lopes Lda.,1
FB,65,7843.90000,APU-15,L3,Schenk GmbH,2020/08/04,92,2022,Sacavém,OV-2566-54124,Rogner KG,normal
FE,38,11835.30000,APU-15,L2,Huhn KGaA,01 Aug 2019,93,2021,Genthin,YB-0354-36688,Mangold GbR, 1 
FA,10,32161.20000,APU-20,L2,Teixeira,2018/08/20,94,2015,Amarante,OP-1109-44395,Huhn KGaA,light
FD,70,5921.60000,APU-15,L5,Amorim,"06/28/2015, 00:00:00",95,2023,Lourosa,HY-3790-33122,Pinho Lopes Lda.,med
FD,117,18450.00000,APU-20,L1,Johnson-Garrett,2023/01/25,96,2019,Guimarães,XM-5209-48383,Hofmann Bender GmbH,3
FD,117,12967.70000,APU-20,L1,Gutknecht Stiftung & Co. KG,15 Feb 2017,97,2021,São João da Madeira,FM-7858-48729,Teixeira,heavy
FD,35,7899.90000,APU-12,L5,Pinto Gaspar S.A.,2017-12-05,98,2022,Johnnymouth,HM-2222-51868,"Gibbs, Scott and Moore",L
FB,84,23918.50000,APU-15,L1,"Moore, Kennedy and Berger",2018-01-14,99,2018,Quarteira,SC-0304-63126,Hövel Jopich KG,3
FD,2,10618.40000,APU-12,L2,Zobel,22 Dec 2017,100,2021,Ebersberg,VY-8994-74048,Huhn KGaA, light 
FE,106,16211.40000,APU-12,L6,Reinhardt,27 Jul 2022,101,2020,Ochsenfurt,YP-5583-00277,Kraushaar GbR,3
FB,46,13347.70000,APU-12,L5,Reinhardt,2017/07/23,102,2021,Klötze,BH-8636-56530,Trapp Langern OHG mbH,med
FC,113,17573.20000,APU-15,L5,Hofmann Bender GmbH,20 Oct 2016,103,2019,East Joshuabury,FO-5414-60701,Faria,H
FC,88,18629.30000,APU-12,L5,Hermighausen Weinhold AG & Co. KG,2021-07-24,104,2019,Nürtingen,IW-9126-41566,Pinto Gaspar S.A.,light
FB,81,8920.70000,APU-12,L2,Christoph GmbH,2021-04-21,105,2022,New Danielshire,RE-2377-78275,Macedo Faria e Filhos,L
FC,30,8499.30000,XC-7,L4,Heinrich,"04/11/2022, 00:00:00",106,2022,Harrisbury,UT-1857-12892,Heinrich,light
FA,82,29119.50000,APU-20,L2,Huhn KGaA,2015/04/26,107,2016,Youngfort,MO-2616-69140,Gutknecht Stiftung & Co. KG,3
FC,68,9232.50000,APU-15,L4,Trapp Langern OHG mbH,2023/02/13,108,2022,Johnnymouth,GW-6909-90730,Trapp Langern OHG mbH,normal
FA,58,23743.10000,XC-7,L6,Faria,2018/03/12,109,2018,Harrisbury,FA-0506-10953,Teixeira,2
FC,49,,XC-7,L3,Gutknecht Stiftung & Co. KG,2015/07/30,110,2020,Moura,DB-1923-45944,Amorim,N
FC,78,16108.00000,XC-7,L1,Ribeiro,2018-11-18,111,2020,Schleiz,MG-7426-09912,Hofmann Bender GmbH,med
FC,74,12687.20000,APU-12,L2,Pinto Gaspar S.A.,2020/01/17,112,2021,Horta,ZD-6277-89997,Silva,2
FB,10,13316.20000,APU-12,L6,Reinhardt,2016-10-27,113,2021,Johnnymouth,OF-1310-26028,Pinto Gaspar S.A.,light
FC,107,10520.50000,APU-20,L2,Johnson-Garrett,2023-04-24,114,2021,Gomezberg,SC-1852-76523,Rädel Löwer AG, heavy 
FA,86,8793.00000,APU-15,L6,Hofmann Bender GmbH,2021/03/03,115,2022,Chaves,JW-9191-97114,"Moore, Kennedy and Berger",3
FB,5,12048.30000,APU-20,L5,Macedo Faria e Filhos,2018-02-22,116,2021,Horta,UL-2643-23200,Hofmann Bender GmbH,L
FC,48,12818.80000,APU-12,L2,Macedo Faria e Filhos,15 Mar 2021,117,2021,Macedo de Cavaleiros,GY-1575-49120,Roy and Sons,N
FE,116,25343.80000,XC-7,L2,Schenk GmbH,2022-10-06,118,2017,Oranienburg,MU-7169-62628,Hofmann Bender GmbH,H
FC,0,19208.00000,APU-15,L1,Hövel Jopich KG,2023/09/11,119,2019,Nürtingen,PR-2417-01532,Roy and Sons,light
FC,104,16038.70000,APU-20,L1,Ribeiro,2022-10-15,120,2020,Caldas da Rainha,IH-7002-77970,Christoph GmbH,H
FD,106,9838.50000,APU-12,L6,James PLC,29 Jul 2020,121,2022,Gomezberg,PQ-1164-89306,Christoph GmbH,3
FE,106,4208.40000,APU-20,L3,"Hernandez, Malone and Smith",2023/07/17,122,2023,West Nicolechester,OD-1508-31170,Hövel Jopich KG,3
FD,107,17523.20000,APU-20,L2,Hermighausen Weinhold AG & Co. KG,2023-12-24,123,2019,Moniqueside,JC-1547-34645,"Rivers, Welch and Hood",light
FE,37,22831.00000,APU-15,L6,"Rivers, Welch and Hood",2024/12/12,124,2018,East Joshuabury,JH-5679-04736,Macedo Faria e Filhos,light
FC,9,12029.20000,APU-20,L3,Johnson-Garrett,2023-04-28,125,2021,Klötze,FT-1655-21348,Silva,1
FC,9,10031.50000,XC-7,L4,Roy and Sons,2018-01-15,126,2022,Barbarachester,KS-0712-43032,Trevino-Turner,L
FE,30,36989.00000,XC-7,L2,Mangold GbR,"04/01/2019, 00:00:00",127,2014,Amarante,AK-3918-94587,Leal Freitas S/A,light
FD,2,17694.50000,XC-7,L2,Leal Freitas S/A,"10/13/2023, 00:00:00",128,2019,Moniqueside,TZ-3035-24005,Hövel Jopich KG,light
FE,47,13322.40000,XC-7,L6,Leal Freitas S/A,"02/08/2024, 00:00:00",129,2021,Genthin,DP-6140-80625,Mangold GbR,light
FC,0,13553.80000,APU-12,L6,Reinhardt,2016/08/04,130,2021,Almada,EW-8633-43276,Faria,1
FC,102,16554.20000,APU-12,L1,Gutknecht Stiftung & Co. KG,2020/11/07,131,2020,Gomezberg,MN-2970-69226,Pinto Gaspar S.A.,H
FA,68,5962.10000,APU-15,L3,Rädel Löwer AG,2024-12-11,132,2023,Naila,FZ-8722-57898,Ribeiro,normal
FC,90,10380.60000,APU-20,L5,Stroh,2024/12/12,133,2022,Chaves,VS-2313-74814,Pinho Lopes Lda.,N
FC,27,5318.30000,APU-12,L6,Rogner KG,2016-04-10,134,2023,Leeberg,VX-5761-43297,Amorim,L
FD,10,5393.60000,APU-15,L3,Kraushaar GbR,09 Apr 2017,135,2023,Torres Novas,IA-5208-57109,Roy and Sons,L
FA,62,7216.10000,XC-7,L3,Stroh,"11/18/2020, 00:00:00",136,2022,Gomezberg,QX-2828-87969,Schenk GmbH,med
FB,60,7409.90000,APU-15,L5,Rädel Löwer AG,2021-03-20,137,2022,Trancoso,DL-5842-99799,Leal Freitas S/A,med
FD,59,9961.80000,XC-7,L2,Roy and Sons,2020-06-28,138,2022,Johnfort,SS-1859-06236,Pinto Gaspar S.A.,2
FD,11,,APU-12,L2,Ribeiro,"08/01/2015, 00:00:00",139,2022,Torres Novas,VB-8597-76501,Gutknecht Stiftung & Co. KG,1
FD,28,9469.60000,APU-12,L4,Roy and Sons,2023-09-21,140,2022,Trancoso,MG-8989-02489,Trapp Langern OHG mbH,L
FB,100,4198.60000,APU-15,L2,Gutknecht Stiftung & Co. KG,2023/01/01,141,2023,Lourosa,RF-3805-66141,Silva,3
FD,101,30097.80000,XC-7,L3,Rädel Löwer AG,2019/04/17,142,2016,Fiães,VD-4242-66774,Roy and Sons,1
FB,3,8252.00000,APU-12,L6,Mitschke,2024-04-05,143,2022,Nürtingen,CP-0700-45378,"Hernandez, Malone and Smith",light
FB,64,12527.20000,APU-20,L3,Hövel Jopich KG,"11/01/2018, 00:00:00",144,2021,Harrisbury,FB-0187-71200,Mangold GbR,med
FA,29,15720.90000,APU-12,L6,Pinho Lopes Lda.,26 Jul 2017,145,2020,Sacavém,BF-3346-73069,"Hernandez, Malone and Smith",L
FD,92,15048.00000,APU-20,L5,Schenk GmbH,2018/06/05,146,2020,Caldas da Rainha,PN-9167-23171,Johnson-Garrett,heavy
FC,35,20654.90000,APU-15,L5,Zobel,2023-06-10,147,2019,São João da Madeira,AX-2499-73201,Rädel Löwer AG,1
FC,77,5420.20000,APU-20,L1,Macedo Faria e Filhos,2017/12/11,148,2023,Moura,JP-0369-97164,Roy and Sons, N 
FE,19,12896.70000,APU-15,L3,Trapp Langern OHG mbH,2019/09/20,149,2021,Johnnymouth,WQ-2365-36007,"Becker, Sanchez and Crawford",1
FB,73,8117.10000,XC-7,L3,Teixeira,2020/05/28,150,2022,Chaves,PM-1380-22536,Allen-Ferguson, 1 
FC,34,9720.40000,APU-15,L1,Reinhardt,2020/01/22,151,2022,Moniqueside,OG-8415-21625,Teixeira,light
FB,103,14182.00000,APU-15,L4,Johnson-Garrett,23 Sep 2024,152,2020,Moniqueside,MA-8887-73964,Hövel Jopich KG,H
FA,13,,XC-7,L2,Huhn KGaA,"04/16/2017, 00:00:00",153,2021,Horta,VA-8647-01794,Allen-Ferguson,L
FD,98,29107.40000,APU-20,L4,Gutknecht Stiftung & Co. KG,2022-08-03,154,2016,Regen,AK-0527-63601,"Henson, Walker and Pruitt",heavy
FE,60,5606.20000,APU-12,L6,Zobel,"05/09/2023, 00:00:00",155,2023,Cartaxo,SI-9241-38040,Pinho Lopes Lda.,med
FB,90,15364.70000,APU-20,L1,Heinrich,"10/14/2022, 00:00:00",156,2020,Sacavém,LF-3522-33025,"Moore, Kennedy and Berger", H 
FD,113,4568.60000,APU-20,L1,Reinhardt,"06/18/2022, 00:00:00",157,2023,Genthin,DL-1036-33885,"Rivers, Welch and Hood",L
FC,62,12509.80000,APU-12,L5,James PLC,"08/07/2019, 00:00:00",158,2021,Amarante,OZ-6631-68049,"Rivers, Welch and Hood",N
FE,89,8434.50000,APU-12,L5,Roy and Sons,"07/19/2024, 00:00:00",159,2022,Genthin,GT-2054-49129,Amorim,heavy
FE,35,4531.00000,APU-20,L5,"Barker, Henson and Neal",12 Dec 2016,160,2023,Lourosa,VO-9284-30266,Hermighausen Weinhold AG & Co. KG,L
FC,93,45000.00000,XC-7,L1,Hövel Jopich KG,"01/30/2021, 00:00:00",161,2012,Hensleyville,IO-0233-02681,Hövel Jopich KG, H 
FA,77,22817.40000,APU-12,L4,Gutknecht Stiftung & Co. KG,"06/23/2021, 00:00:00",162,2018,Lourosa,HY-7317-67841,Hövel Jopich KG,N
FD,81,21961.70000,APU-20,L3,Gutknecht Stiftung & Co. KG,"04/30/2016, 00:00:00",163,2018,Sacavém,QP-4729-13333,Trevino-Turner,H
FD,89,8224.00000,APU-15,L4,Pinho Lopes Lda.,2020-09-11,164,2022,Naila,JN-0734-76748,Hofmann Bender GmbH,L
FE,34,8083.40000,APU-15,L5,"Gibbs, Scott and Moore",2022/02/10,165,2022,Moniqueside,TH-8704-27938,Pinto Gaspar S.A.,L
FC,83,16472.80000,APU-20,L4,Rädel Löwer AG,28 Nov 2020,166,2020,Lourosa,TC-0020-58358,Huhn KGaA,heavy
FE,90,13390.60000,XC-7,L6,Walker Ltd,2015/08/04,167,2021,Gomezberg,KZ-9315-68822,Allen-Ferguson,2
FA,42,20028.30000,APU-20,L3,Huhn KGaA,2017-06-25,168,2019,Chaves,LS-7101-86449,Gutknecht Stiftung & Co. KG,normal
FC,79,18128.60000,XC-7,L2,Huhn KGaA,17 Jul 2024,169,2019,Klötze,DU-8653-57581,Macedo Faria e Filhos,med
FA,108,24764.90000,APU-20,L5,Rädel Löwer AG,2016-07-07,170,2017,New Danielshire,YN-3895-26525,Faria,3
FC,45,24654.80000,APU-12,L1,Macedo Faria e Filhos,2024/04/29,171,2017,Gifhorn,CA-3543-46555,Allen-Ferguson,med
FA,54,17048.30000,XC-7,L5,Kraushaar GbR,2023-05-13,172,2020,Vila Real,ZT-9801-73986,Reinhardt,2
FE,112,9064.70000,APU-12,L2,Ribeiro,2022-03-09,173,2022,Barbarachester,VT-2927-16861,Heinrich,3
FD,27,7495.40000,APU-15,L6,Reinhardt,"04/28/2023, 00:00:00",174,2022,Kusel,XN-9405-85075,Rogner KG,2
FB,79,10464.20000,APU-12,L1,Zobel,"04/03/2020, 00:00:00",175,2022,Johnnymouth,CZ-9510-88097,Reinhardt,normal
FC,115,11636.40000,APU-20,L6,Rädel Löwer AG,"09/15/2016, 00:00:00",176,2021,Ochsenfurt,TA-1157-79631,Ribeiro,heavy
FC,101,9255.60000,APU-20,L6,Pinho Lopes Lda.,2017-10-16,177,2022,Gifhorn,PX-4412-07484,"Henson, Walker and Pruitt",3
FD,55,6974.00000,APU-20,L6,Stroh,2024/12/11,178,2023,South Renee,NM-8390-72067,Hövel Jopich KG,2
FC,51,10275.00000,APU-20,L3,Johnson-Garrett,2018/11/11,179,2022,Caldas da Rainha,IR-9341-54863,"Becker, Sanchez and Crawford",L
FD,34,14330.60000,APU-15,L4,"Barker, Henson and Neal","09/08/2021, 00:00:00",180,2020,Moniqueside,TT-5749-28644,Reinhardt,1
FC,55,11880.90000,APU-15,L6,"Henson, Walker and Pruitt",27 Jul 2024,181,2021,Barbarachester,SW-4242-81238,Huhn KGaA,normal
FD,17,5852.50000,APU-20,L5,Walker Ltd,"04/18/2016, 00:00:00",182,2023,Cartaxo,IB-4053-67711,"Carter, Kim and Allen",1
FB,74,16879.20000,APU-15,L6,Zobel,2023/01/30,183,2020,Vila Real,ZG-7603-83879,Walker Ltd,light
FE,113,,APU-12,L6,Trevino-Turner,2021/03/23,184,2015,Kusel,UO-8960-93897,Hofmann Bender GmbH,H
FB,47,4176.40000,APU-20,L2,Faria,2017-07-15,185,2023,São João da Madeira,PL-6954-78534,Hövel Jopich KG,normal
FD,119,4418.80000,XC-7,L6,Hermighausen Weinhold AG & Co. KG,2015/11/06,186,2023,Vila Real,XG-2666-90401,"Rivers, Welch and Hood",L
FA,90,5283.70000,APU-12,L5,"Barker, Henson and Neal",2015-09-22,187,2023,New Danielshire,OG-2262-65255,Reinhardt,L
FB,91,8470.10000,APU-15,L6,Rogner KG,2016-10-25,188,2022,São Salvador de Lordelo,IG-4183-98210,Roy and Sons,normal
FB,101,6509.00000,APU-20,L6,"Barker, Henson and Neal","11/16/2017, 00:00:00",189,2023,Gomezberg,OZ-9993-53734,Reinhardt,normal
FA,117,,APU-15,L6,Huhn KGaA,22 Oct 2020,190,2019,Gomezberg,TP-6498-18201,Ribeiro,light
FB,78,13284.60000,XC-7,L4,Schenk GmbH,"09/27/2021, 00:00:00",191,2021,Lourosa,VE-3612-27272,Faria, med 
FE,0,9754.00000,APU-20,L4,Mitschke,"10/17/2021, 00:00:00",192,2022,Moura,YV-6811-90545,Kraushaar GbR,L
