depot_id;vendor;modelHardware;id_unit;technician;Lon;gatewayId;address_mac;installDate;ipv4;signal_dbm;lastSeen;Lat;firmware_version
37;Pinho Lopes Lda.;NODE-9;72;Dipl.-Ing. Nicole Henschel B.Eng.;-8.14648;GW-00024;1c:30:62:11:1a:a5;2022-12-18;78.226.55.231;-70.50000;2024/06/14;40.17841;v3.4.1
9;Hofmann Bender GmbH;NODE-7;224;James Gonzales;-8.45492;GW-00025;c3:6a:c0:5f:4a:a5;10/23/2017, 00:00:00;209.113.167.215;-70.90000;2025-01-12;39.35858;v1.2.5
116;Kraushaar GbR;GWX-100;1446;Jo Fry;-7.67958;GW-00026;7e:99:c8:6f:5c:11;11 Jun 2015;54.166.11.210;-68.10000;2025-01-30;40.75288;v3.4.1
65;Rivers, Welch and Hood;NODE-9;582;Leandro Martins;-7.99465;GW-00027;22:3f:a4:72:0a:7c;26 Apr 2017;206.232.138.130;-65.20000;2024-09-07;40.51722;v1.2.5
57;Roy and Sons;GWX-200;1895;Catarina-Débora Macedo;-7.18325;GW-00028;a4:a3:4a:d1:54:29;22 Feb 2018;29.163.205.70;-62.00000;01 Mar 2024;41.26488;v2.7.0
74;Pinto Gaspar S.A.;GWX-100;1430;Ivo Pereira;-8.37133;GW-00029;9f:52:6a:55:d1:e0;2018/12/01;80.183.181.53;-76.80000;06/11/2024, 00:00:00;38.75449;v2.7.0
4;Rivers, Welch and Hood;NODE-9;359;Courtney Johnson;-7.56322;GW-00030;13:6b:83:57:1c:58;12/10/2016, 00:00:00;213.230.74.45;-74.20000;06/13/2024, 00:00:00;39.52629;v1.2.5
90;Leal Freitas S/A;NODE-9;1028;Prof. Sebastian Drub;-9.21440;GW-00031;75:60:d7:70:1d:40;2023/07/19;195.99.92.229;-63.20000;23 Jan 2024;40.07517;v2.7.0
19;Mangold GbR;NODE-7;1106;Steve Carroll;-8.97691;GW-00032;ff:a6:8c:bd:8e:c9;08 Aug 2019;164.244.183.65;-57.70000;2025/01/01;41.12501;v3.4.1
69;Pinto Gaspar S.A.;NODE-7;462;Dr. Elzbieta Langern B.A.;-8.95650;GW-00033;f6:1f:d4:76:3e:7e;2016-05-25;37.124.143.183;-75.60000;2024-05-24;40.18557;v2.7.0
3;Rivers, Welch and Hood;GWX-100;1473;Dr. Marc Robinson;-8.66574;GW-00034;a3:dc:d4:ff:87:17;01/28/2017, 00:00:00;218.243.111.18;-77.00000;07/21/2024, 00:00:00;40.02605;v3.4.1
37;Teixeira;GWX-200;1348;Gero Bärer;-8.20011;GW-00035;2d:5a:d9:1e:63:05;05/30/2015, 00:00:00;86.125.250.2;-66.80000;04/05/2024, 00:00:00;41.61692;v3.4.1
39;Allen-Ferguson;NODE-7;961;Felicia Gaines;-7.17956;GW-00036;a7:80:7b:db:95:58;2021-05-31;130.106.188.197;-45.70000;2025/01/12;39.51115;v3.4.1
21;Zobel;GWX-200;1934;Ivo Pereira;-7.94873;GW-00037;86:64:2d:81:1f:ff;2022/01/27;91.85.252.226;-55.70000;2024/03/12;40.89617;v3.4.1
64;Reinhardt;GWX-200;1053;Salvador Matias;-7.90078;GW-00038;3a:2f:76:e6:1f:52;2022-10-06;21.217.243.136;-86.70000;30 Jun 2024;39.16922;v2.7.0
48;Leal Freitas S/A;GWX-300;117;Edward Nguyen;-6.35955;GW-00039;70:60:83:2a:ae:6a;2023-11-03;42.227.198.171;-82.10000;2024/05/12;39.84207;v2.7.0
119;Christoph GmbH;GWX-200;83;Dr. Marc Robinson;-7.93302;GW-00040;67:e8:71:14:d7:9e;2017/11/08;230.139.2.27;-55.90000;2024/09/27;40.85249;v3.4.1
105;Reinhardt;GWX-100;1255;Catarina-Débora Macedo;-6.84939;GW-00041;4d:f0:e3:05:9d:0c;10 Jan 2016;81.95.120.108;-60.50000;08 Feb 2024;39.84957;v3.4.1
58;Huhn KGaA;GWX-100;44;Carminho Melo;-9.21528;GW-00042;50:8e:b0:17:66:ea;11/06/2022, 00:00:00;150.136.135.182;-77.30000;26 May 2024;39.51726;v1.2.5
92;Pinho Lopes Lda.;NODE-9;1689;Sandro Esteves-Esteves;-7.03084;GW-00043;cb:ca:f4:fc:c3:cd;2018/11/25;180.125.208.38;-68.90000;2024-10-13;40.30763;v1.2.5
119;Christoph GmbH;GWX-200;1981;Diego Carneiro-Lourenço;-7.54798;GW-00044;28:aa:30:98:b3:72;02/01/2020, 00:00:00;52.232.71.134;-52.50000;2024-02-11;38.60262;v1.2.5
30;Barker, Henson and Neal;GWX-300;1112;Dr. Zita Keudel;-7.48455;GW-00045;9e:5a:a4:40:5a:32;31 Aug 2020;98.108.53.218;-74.10000;08/25/2024, 00:00:00;41.05959;v3.4.1
24;Ribeiro;NODE-7;563;Teresa Church;-7.23427;GW-00046;22:62:b1:f6:06:a2;09/01/2019, 00:00:00;77.131.225.243;-86.80000;08/28/2024, 00:00:00;40.87643;v3.4.1
44;Hövel Jopich KG;GWX-200;451;Tomasz Baum B.Sc.;-7.34004;GW-00047;88:49:b6:61:66:3a;2023/07/09;207.6.28.175;-75.00000;01/02/2024, 00:00:00;41.00630;v2.7.0
71;Kraushaar GbR;NODE-9;1082;Steve Carroll;-6.25305;GW-00048;6f:aa:a8:28:4f:c8;2017/11/14;99.3.37.156;-69.10000;2024/09/30;41.11319;v2.7.0
46;Allen-Ferguson;NODE-7;472;Mara-Lia Rodrigues;-7.91727;GW-00049;70:b9:9c:7f:ec:cc;03/09/2018, 00:00:00;25.42.173.4;-57.20000;03 May 2024;39.31535;v2.7.0
67;Rivers, Welch and Hood;GWX-300;1835;Mateus Costa;-8.08750;GW-00050;fd:30:b7:3f:45:73;2018/04/22;165.195.149.116;-63.20000;2024/01/15;40.79986;v2.7.0
78;Trevino-Turner;GWX-300;406;Gunter Scholl B.A.;-7.30946;GW-00051;fd:3a:e9:b2:41:cf;02/16/2019, 00:00:00;202.109.179.188;-71.80000;02/04/2024, 00:00:00;38.75350;v2.7.0
93;Rogner KG;NODE-7;616;Tina Montes;-6.52004;GW-00052;5c:73:fb:56:54:fc;30 Jul 2020;50.160.160.13;-78.10000;2024-08-30;40.81472;v1.2.5
77;Mitschke;GWX-100;380;Ivan Reis;-8.83648;GW-00053;00:89:52:8d:a2:1f;2018-11-26;89.46.138.183;-73.30000;2024/05/24;40.84944;v2.7.0
23;Henson, Walker and Pruitt;NODE-9;825;Kayla Finley;-8.26629;GW-00054;e7:1e:46:14:37:fe;2015-11-27;153.72.202.139;-64.80000;11/04/2024, 00:00:00;41.42718;v2.7.0
34;Heinrich;NODE-7;1922;Prof. Sebastian Drub;-7.80955;GW-00055;fe:39:95:c9:7e:d1;2018-10-28;222.122.19.92;-61.40000;01/07/2025, 00:00:00;38.75019;v3.4.1
91;Pinho Lopes Lda.;GWX-300;629;Kayla Finley;-8.08056;GW-00056;32:b1:97:d4:81:ea;2023/03/16;3.51.242.214;-80.60000;18 Jan 2025;40.20449;v3.4.1
17;Becker, Sanchez and Crawford;GWX-300;1206;Judy Lee;-7.06923;GW-00057;a8:b7:cf:97:e9:89;01/13/2021, 00:00:00;39.121.2.75;-63.10000;2024/08/30;39.25908;v3.4.1
71;Kraushaar GbR;NODE-7;1131;Sandro Esteves-Esteves;-7.40140;GW-00058;a2:b4:9d:9e:ff:4d;10/17/2016, 00:00:00;211.0.68.96;-63.30000;2024/01/23;39.30710;v2.7.0
15;Zobel;GWX-200;447;Ricardo Figueiredo;-8.96347;GW-00059;55:54:af:4d:86:a4;2019-02-28;129.154.117.193;-79.60000;15 Sep 2024;39.97147;v3.4.1
70;Gutknecht Stiftung & Co. KG;NODE-9;1470;John Moore;-8.75444;GW-00060;32:c1:25:b2:3b:8e;2021-08-21;224.71.90.189;-78.80000;2024/03/18;40.19712;v1.2.5
88;Huhn KGaA;GWX-300;330;James Gonzales;-6.31104;GW-00061;b1:02:5a:ff:ae:83;05/23/2022, 00:00:00;164.35.155.33;-78.40000;12 Nov 2024;40.59543;v1.2.5
35;Hernandez, Malone and Smith;GWX-100;243;Gunter Scholl B.A.;-7.54723;GW-00062;48:36:cb:d4:50:02;2021-10-15;75.68.231.182;-84.20000;2025/01/31;41.22876;v3.4.1
19;Gutknecht Stiftung & Co. KG;NODE-7;565;Edward Nguyen;-8.63448;GW-00063;22:bc:55:c9:8c:16;16 May 2015;197.145.201.192;-69.40000;2024/01/17;39.40379;v3.4.1
92;Allen-Ferguson;GWX-100;739;Kelly Azevedo-Fonseca;-6.99120;GW-00064;06:d8:d4:ea:3b:d9;2015-01-13;101.62.149.74;-61.80000;01/27/2025, 00:00:00;41.58596;v1.2.5
19;Allen-Ferguson;NODE-7;12;Carminho Fonseca;-8.74743;GW-00065;29:75:a9:92:1e:fd;2017-07-20;159.44.200.45;-77.60000;04/11/2024, 00:00:00;38.63084;v3.4.1
15;Hövel Jopich KG;NODE-9;512;Steve Carroll;-8.00605;GW-00066;a9:2c:ad:81:3a:38;2022/09/18;106.25.56.95;-69.20000;07/10/2024, 00:00:00;38.88768;v3.4.1
92;Zobel;GWX-200;479;Dr. Marc Robinson;-8.65870;GW-00067;10:21:67:34:a2:79;2018-02-14;238.59.220.230;-86.20000;08/04/2024, 00:00:00;40.51056;v1.2.5
19;Schenk GmbH;GWX-200;73;Ludwig Heß;-8.17616;GW-00068;32:c9:64:e6:12:5b;2019-05-06;10.202.211.185;-65.50000;09/10/2024, 00:00:00;39.27184;v2.7.0
4;Trapp Langern OHG mbH;NODE-7;201;William Reed;-8.00698;GW-00069;0a:f4:c7:ab:c5:02;01/11/2024, 00:00:00;232.162.153.43;-79.60000;02 Dec 2024;40.40282;v3.4.1
71;Mitschke;GWX-100;277;Ryan Rios;-6.48385;GW-00070;ae:eb:75:0f:11:cd;2024/01/07;86.136.50.163;-92.70000;04/27/2024, 00:00:00;39.09336;v2.7.0
105;Hövel Jopich KG;NODE-7;528;John Moore;-8.82142;GW-00071;0e:69:6f:bc:d6:cb;2021/04/15;89.175.186.65;-58.20000;2024-11-21;40.65188;v3.4.1
30;Ribeiro;GWX-100;127;Prof. Janet Hörle;-6.28268;GW-00072;6b:38:ee:ad:a4:f0;03/25/2018, 00:00:00;169.26.239.135;-73.10000;04/28/2024, 00:00:00;38.93978;v1.2.5
87;Mitschke;GWX-200;1289;Salvador Matias;-6.64976;GW-00073;68:8b:ba:ca:84:7d;05/31/2022, 00:00:00;255.44.147.12;-70.30000;05 Aug 2024;38.80884;v2.7.0
96;Mangold GbR;GWX-100;911;Ivo Pereira;-8.80978;GW-00074;19:d9:fc:f4:d9:97;09 Jul 2018;149.192.207.50;-80.00000;2024-05-30;41.28097;v1.2.5
45;Schenk GmbH;NODE-7;1270;Lea Eigenwillig;-8.81836;GW-00075;00:3c:62:de:a1:d6;25 Jan 2018;242.97.213.154;-82.70000;2024-10-08;39.11947;v2.7.0
5;Pinto Gaspar S.A.;NODE-9;220;Wilson Oliveira;-8.99965;GW-00076;c9:f9:32:80:1b:a9;18 Nov 2024;185.8.176.227;-85.10000;27 Jan 2024;40.91008;v1.2.5
33;Rädel Löwer AG;GWX-200;429;Manuel Correia;-8.51217;GW-00077;4c:dd:60:33:c4:90;07/22/2019, 00:00:00;156.198.80.217;-81.30000;2024-08-20;40.76184;v3.4.1
53;Rogner KG;GWX-200;560;John Taylor;-6.60924;GW-00078;67:4a:bd:a5:b8:82;2022/01/10;97.71.101.1;-77.00000;2024/12/16;39.81538;v2.7.0
85;Roy and Sons;GWX-200;205;Emília Mota;-6.49657;GW-00079;ed:b0:08:89:74:36;12/08/2022, 00:00:00;209.52.173.245;-73.90000;2024/05/06;39.94260;v1.2.5
61;Teixeira;NODE-7;575;Salvador Matias;-6.97703;GW-00080;d5:48:02:5e:72:f6;2020/01/06;160.45.139.57;-70.10000;07/08/2024, 00:00:00;41.43352;v2.7.0
116;Rogner KG;NODE-9;246;Michael Bryant;-8.39901;GW-00081;63:4e:fa:84:9b:6f;17 Mar 2016;52.157.49.240;-88.70000;20 Oct 2024;41.08832;v1.2.5
24;Amorim;NODE-9;1215;Anette Sölzer;-8.78918;GW-00082;69:b5:66:a9:07:18;2024-10-04;218.104.5.57;-70.70000;2024-08-23;39.81247;v2.7.0
33;Becker, Sanchez and Crawford;GWX-100;587;Manuel Correia;-8.53978;GW-00083;3f:fb:2e:e3:81:f1;16 Sep 2021;26.191.51.93;-74.50000;08/07/2024, 00:00:00;40.28533;v2.7.0
54;Henson, Walker and Pruitt;NODE-9;879;Salvador Matias;-6.69317;GW-00084;18:2f:48:de:53:ba;2015/04/21;215.241.60.205;-70.80000;2024/12/15;41.11616;v2.7.0
116;Gutknecht Stiftung & Co. KG;NODE-9;476;Judy Lee;-6.42100;GW-00085;95:d0:b1:df:d9:59;2020/11/11;90.133.109.144;-66.50000;05/05/2024, 00:00:00;39.51621;v1.2.5
19;Trevino-Turner;NODE-9;29;Mariana Pinheiro;-7.43426;GW-00086;6e:53:7d:57:c9:b5;09/18/2017, 00:00:00;62.63.72.120;-89.30000;19 Nov 2024;40.54728;v3.4.1
74;Rädel Löwer AG;NODE-9;1758;Débora Soares;-6.58213;GW-00087;f2:a4:76:5b:df:f4;2021-02-27;102.90.173.113;-72.20000;12 Jun 2024;40.65538;v2.7.0
55;Pinto Gaspar S.A.;GWX-100;1991;Stacy Silva;-7.94863;GW-00088;10:16:0c:9d:bd:50;2016/04/07;178.214.133.163;-72.30000;2024/07/30;40.42669;v2.7.0
49;Allen-Ferguson;GWX-200;1910;Mara Marques;-7.99291;GW-00089;e0:c6:fc:78:7d:76;11/13/2021, 00:00:00;218.74.224.160;-59.10000;09/01/2024, 00:00:00;41.59648;v2.7.0
17;Gutknecht Stiftung & Co. KG;GWX-300;1655;Christopher Phillips;-6.81866;GW-00090;bf:81:6a:a6:9a:81;2015-09-15;189.133.70.222;-58.30000;2024/03/03;40.66547;v3.4.1
60;Hermighausen Weinhold AG & Co. KG;NODE-9;155;Dr. Veronica Ortmann MBA.;-7.38690;GW-00091;4b:21:d6:a4:b3:36;06/23/2021, 00:00:00;153.101.25.36;-79.00000;2024/11/05;40.20520;v3.4.1
69;Trevino-Turner;NODE-9;1489;Jo Fry;-8.22615;GW-00092;5f:a7:7c:e3:b6:c5;2023/12/06;113.151.156.109;-82.30000;03/10/2024, 00:00:00;39.62461;v2.7.0
7;Hernandez, Malone and Smith;NODE-7;874;Ivo Pereira;-6.20230;GW-00093;2e:ea:97:8c:a4:58;03/02/2023, 00:00:00;206.23.124.47;-80.60000;2024/11/01;41.36203;v3.4.1
35;Walker Ltd;GWX-100;386;Débora Batista;-7.27042;GW-00094;8e:66:8d:76:ae:35;2022-05-16;255.52.14.139;-69.10000;14 Jul 2024;41.43379;v3.4.1
62;James PLC;GWX-300;1192;Manuel da Pereira;-9.26179;GW-00095;f9:9f:f8:0a:8a:a8;2016-01-20;244.155.60.197;-70.60000;2024-06-14;39.08369;v2.7.0
13;Silva;GWX-300;1776;Teresa do Teixeira;-8.22215;GW-00096;fd:5e:1f:8a:d7:45;2023/01/21;64.252.216.26;-82.80000;04 Aug 2024;41.46062;v3.4.1
57;Allen-Ferguson;GWX-200;1154;Daniel Wilms-Mühle;-8.58735;GW-00097;1b:09:ce:f2:a9:4c;2016-03-13;78.22.138.1;-70.80000;16 Dec 2024;39.93761;v2.7.0
111;Walker Ltd;GWX-300;624;Gero Bärer;-7.83742;GW-00098;5d:65:5f:d6:4c:b4;2015-05-06;30.2.113.168;-86.20000;05/27/2024, 00:00:00;41.28481;v1.2.5
14;Rivers, Welch and Hood;NODE-7;252;John Moore;-8.88643;GW-00099;cf:65:e8:88:38:ba;03/20/2018, 00:00:00;158.227.61.213;-71.90000;2024-03-28;41.56389;v3.4.1
66;Johnson-Garrett;NODE-9;1220;Tiago Ferreira;-7.97937;GW-00100;c6:4c:ae:0f:7b:b4;02/18/2016, 00:00:00;195.30.69.249;-46.40000;13 Nov 2024;39.00086;v2.7.0
31;Pinho Lopes Lda.;GWX-300;1909;Sebastião Silva;-6.29532;GW-00101;a0:fc:0a:65:9c:95;2018/10/10;101.255.191.134;-69.00000;11 Jul 2024;41.62384;v3.4.1
11;Henson, Walker and Pruitt;GWX-100;1328;Dipl.-Ing. Hubertine Hertrampf B.Sc.;-9.05041;GW-00102;89:2e:38:f7:b9:a2;08 Aug 2015;204.83.22.171;-74.00000;2024-04-08;39.45654;v3.4.1
14;Allen-Ferguson;GWX-100;1240;Dipl.-Ing. Nicole Henschel B.Eng.;-6.48268;GW-00103;92:f9:32:aa:2e:8d;2022/05/19;31.152.178.171;-64.80000;10/14/2024, 00:00:00;39.05103;v3.4.1
63;Henson, Walker and Pruitt;GWX-200;1075;Kelly Azevedo-Fonseca;-8.56897;GW-00104;52:a4:8e:e8:ed:dd;2015-02-07;73.6.196.154;-73.00000;19 Nov 2024;39.71374;v2.7.0
33;Moore, Kennedy and Berger;NODE-9;907;Gaetano Thies;-6.57733;GW-00105;b2:0b:76:49:55:00;10/14/2019, 00:00:00;226.136.52.228;-57.10000;2024/12/30;40.98522;v1.2.5
3;Kraushaar GbR;GWX-100;1340;Blake Smith;-7.12561;GW-00106;70:f5:c3:48:88:9f;2018/11/10;0.156.147.154;-69.40000;2024-01-14;39.90821;v3.4.1
101;Leal Freitas S/A;GWX-100;908;Herr Jacek Preiß B.A.;-7.55983;GW-00107;d3:91:6f:d4:4b:af;08 Aug 2022;11.61.6.107;-81.80000;2024/12/09;39.34824;v2.7.0
52;Carter, Kim and Allen;GWX-200;1822;Irina Leal;-7.24489;GW-00108;06:7f:36:d4:03:e0;2022-07-13;35.113.195.6;-73.40000;21 Jul 2024;39.87302;v3.4.1
86;Hermighausen Weinhold AG & Co. KG;NODE-9;1927;Courtney Johnson;-6.44059;GW-00109;96:bc:56:a5:78:fb;2016-06-16;175.249.69.252;-58.00000;04 Jul 2024;39.81774;v1.2.5
10;Zobel;GWX-200;135;Dr. Veronica Ortmann MBA.;-9.13312;GW-00110;41:d7:73:43:be:55;07/24/2015, 00:00:00;22.231.32.245;-82.80000;03/29/2024, 00:00:00;40.64280;v3.4.1
30;Henson, Walker and Pruitt;GWX-200;425;Artur Fernandes;-6.27521;GW-00111;fb:d3:0f:e3:b6:e4;2020-01-14;174.67.42.127;-70.80000;2024/02/20;38.67276;v2.7.0
43;Becker, Sanchez and Crawford;GWX-100;1352;Judy Lee;-7.18319;GW-00112;2b:a7:5a:eb:81:15;2018-07-03;83.31.11.117;-75.40000;2024-03-09;41.14400;v2.7.0
8;Johnson-Garrett;NODE-7;275;Sandro Esteves-Esteves;-8.79692;GW-00113;42:a2:26:cd:2e:d0;2021-02-19;111.76.1.18;-60.40000;2024-12-18;39.75213;v1.2.5
63;Gibbs, Scott and Moore;NODE-9;1249;Carlos Gaspar;-7.23601;GW-00114;f2:3c:81:50:03:02;05/29/2020, 00:00:00;72.182.118.184;-65.10000;30 Nov 2024;40.19315;v2.7.0
94;Teixeira;GWX-100;385;Salvador Matias;-8.58240;GW-00115;06:93:e3:6e:d2:f8;2016-01-30;116.219.248.204;-71.60000;2024/04/01;39.79249;v1.2.5
64;Rivers, Welch and Hood;GWX-100;520;Brunhild Meister-Klemm;-7.31511;GW-00116;b1:15:d6:49:74:f6;2023/12/16;244.173.99.59;-68.50000;06/14/2024, 00:00:00;39.33705;v2.7.0
19;Stroh;GWX-300;585;Ludwig Heß;-6.84251;GW-00117;68:81:ca:a8:5d:78;13 Dec 2024;92.75.73.30;-60.80000;2025-01-20;39.08580;v3.4.1
36;Amorim;GWX-200;1013;Sandra Wilson;-8.02911;GW-00118;b7:03:21:73:01:65;2024/07/07;64.87.13.128;-75.70000;10 May 2024;39.88619;v3.4.1
70;Teixeira;GWX-200;1492;David Costa;-7.48854;GW-00119;66:93:0f:31:ee:87;30 Jun 2023;47.160.101.93;-58.40000;2024-09-05;38.95790;v2.7.0
45;Roy and Sons;NODE-9;442;Bob Brooks;-9.25541;GW-00120;84:4f:09:05:46:3a;2018-04-02;21.150.61.4;-75.90000;08 Nov 2024;41.69254;v1.2.5
57;Rädel Löwer AG;GWX-200;1920;Hugo Alves;-9.05784;GW-00121;90:f9:2a:7d:e0:c4;2024-07-30;189.128.241.107;-56.10000;2024/02/25;40.33683;v2.7.0
92;Trapp Langern OHG mbH;GWX-300;1899;Michael Bryant;-6.70079;GW-00122;8a:f7:16:7a:22:e9;2019/07/30;15.192.75.166;-52.00000;17 Jan 2025;40.91071;v1.2.5
105;Heinrich;NODE-9;910;Ing. Meik Hein B.A.;-7.77962;GW-00123;a3:a1:25:d0:12:ed;03/08/2019, 00:00:00;16.250.194.113;-78.60000;2024-08-18;41.31537;v2.7.0
77;Teixeira;GWX-100;1573;Dajana Dörschner B.A.;-8.11600;GW-00124;cc:63:40:55:41:1f;03/11/2018, 00:00:00;35.220.196.186;-72.10000;2024-11-12;41.49198;v2.7.0
18;Pinto Gaspar S.A.;GWX-300;541;Nair Vaz-Baptista;-8.14739;GW-00125;8b:15:ff:f6:12:cb;2023/10/08;194.195.110.84;-78.60000;2024/10/20;39.36203;v3.4.1
8;Henson, Walker and Pruitt;GWX-300;1815;Artur Fernandes;-7.09872;GW-00126;95:c8:75:c1:53:26;2015/11/07;164.125.202.159;-62.80000;09/08/2024, 00:00:00;40.62679;v2.7.0
11;Stroh;NODE-9;5;Micael Branco-Pinto;-6.70343;GW-00127;3c:39:78:26:95:80;25 Apr 2023;148.183.13.14;-57.10000;2024-05-05;38.66574;v3.4.1
51;Kraushaar GbR;GWX-300;1234;Tina Montes;-8.07241;GW-00128;96:4d:fb:06:2c:81;08/11/2016, 00:00:00;6.95.192.89;-57.40000;2025/01/11;40.58127;v2.7.0
0;Teixeira;GWX-200;1287;Dipl.-Ing. Agata Stiffel;-8.28101;GW-00129;12:4d:cc:b2:25:44;08 Nov 2018;90.67.202.35;-68.00000;2024/05/15;39.86961;v3.4.1
13;Schenk GmbH;GWX-200;91;Melissa Morais;-6.91339;GW-00130;a5:c5:44:68:82:0a;02 Nov 2017;15.182.59.65;-53.30000;18 Jun 2024;39.83823;v3.4.1
12;Rivers, Welch and Hood;NODE-7;708;Cäcilia Binner;-9.03820;GW-00131;e2:59:f4:6d:95:bb;2018/01/20;199.3.30.238;-72.80000;10 May 2024;40.65849;v2.7.0
79;Rivers, Welch and Hood;GWX-200;1222;Salvador Matias;-8.13013;GW-00132;60:b9:1c:c2:07:97;06/24/2024, 00:00:00;145.85.91.19;-80.10000;2024/04/11;40.63318;v2.7.0
