id_unit	cycleTs	currentMotor	dpFilter	oilTemperature	reservoirPressure	pressureOil	rms_vibration	flowmeter	humidity_intake	noiseAmbient	dischargeDewpoint	Failure
U01253	17 Apr 2023	5.71644	23.29538	47.95800	8.65651	4.24458	3.96052	29.44276	59.81497	67.71194	8.26507	1
U01020	2023-06-20	3.63770	36.21179	68.06726	9.27061	4.01481	1.12307	30.02570	94.43243	84.37425	6.88942	0
U00229	10 Nov 2023	3.39543	14.82854	48.33959	8.03896	3.42902	3.21976	23.56495		77.14969	8.46835	0
U00975	2023/10/10	6.60704	21.25881	35.93379	8.18927	2.55554	3.60761	30.24547	37.61322	81.13529	4.62701	0
U01093	2023-06-16	5.34071	16.23271	27.48700	8.77637	3.70381	1.51428	22.72647	86.22679	81.37485	3.77030	0
U00131	09/05/2023, 01:10:00	7.78259	31.32146	62.87856	7.86729	3.00063	2.72021	24.48782	33.26167	83.46927	5.34016	0
U00359	15 Jan 2023	8.89168	30.94605	62.74955	9.36629	4.35422	1.61863	29.75620	34.22532	83.72494	9.81140	0
U00824	04/16/2023, 15:23:00	4.50904		51.85554	8.46530	3.01397	2.56823	26.15644	30.14334	77.70413	10.90187	1
U00849	2023/09/30	2.24151	14.53118	56.15307	8.57825	3.78143	1.40361	28.64923	25.72752	75.81300	4.59586	0
U01966	10 Jan 2023	4.30995	22.31224	71.41103	8.27219	3.33494	1.85681	29.56563	90.87726	72.71279	5.72463	0
U01913	2023-04-17	3.42437	23.28016	31.60484	8.46379	3.36713	3.41028	27.02220	82.16107	72.33405	1.92891	0
U01239	08/21/2023, 10:02:00	4.04581	34.10661	36.47379	8.39307	3.33067	3.94348	33.27306	11.06501	81.57202	6.09743	0
U00350	09/02/2023, 23:41:00	2.28940	12.34556	47.35191	8.55010	3.72778	3.06042	30.44002	29.00884	68.48782	8.80577	0
U00152	2023/01/24	6.74788	17.77404	56.70801	7.15547	2.54775	2.96682	29.98368	60.70448	80.43504	8.41126	0
U01133	2023-07-12	6.96180	17.01652	53.09588	8.13213	3.86133	1.65707	29.81896	19.44108	86.27536	7.37641	0
U00124	05/12/2023, 16:23:00	2.70933	33.82924	71.87431	8.29851	3.46064	1.69694	34.27571	14.09289	79.42847	16.56766	1
U00355	20 Nov 2023	8.02663	33.63998	63.38779	8.14550	3.04147	2.11061	29.70824	47.21287	67.67580	5.25725	0
U00286	25 Dec 2023	4.42224	16.98699	67.35164	8.02021	3.38890	2.21479	32.42211	79.93559	75.16579	7.30846	0
U01874	2023/07/05	6.78600	43.50974	58.04128	8.57167	3.59030	2.19463	24.29644	64.59341	70.02414	12.27508	0
U00951	2023/11/17	6.11282	15.96995	35.60761	8.21099	3.23744	3.35696	32.53030	58.09221	69.27689	5.52392	0
U00254	2023-09-20	5.71495	12.99750	33.70712	8.17737	3.35921	1.89397	27.77200	22.45182	77.51414	7.02188	0
U01386	21 May 2023	6.06394	15.45545	52.95069	9.07987	4.47790	1.42042	29.30974	88.67606	71.71751	8.20555	0
U01905	11 Dec 2023	6.11572	15.38052	65.18073	9.02853	4.17269	2.25174	28.08142	79.85887	79.45974	4.66064	0
U01171	08/27/2023, 05:15:00	3.70990	13.20405	42.00270	8.58726	3.85055	2.25517	23.95621	57.85635	72.40155	11.20381	1
U00352	2023-01-27	6.58482	11.67447	45.57903	8.71798	3.83314	1.87427	28.00961	34.98163	72.14398	13.81848	0
U01474	2023/01/11	4.16051	54.57465	54.39267	8.89194	3.82218		23.68942	26.40123	76.39168	11.72075	0
U00666	11/10/2023, 17:59:00	6.52417	26.72623	57.06717	9.37278	3.89764	3.70148	29.77609	79.43224	75.78144	12.10416	0
U00675	05/29/2023, 08:52:00	5.40721	43.05058	61.07552	8.87796	4.46762	2.96659	29.15005	52.37533	70.88763	4.75638	0
U01165	2023-08-27	7.91605	11.70525	54.90500	7.19587	2.61920	1.96117	23.33582	20.92039	84.04410	12.24072	0
U01954	2023/01/04	6.46634	23.54861	47.57114	8.90264	3.76629	3.63865	34.00821	19.80105	84.12525	5.34388	0
U00679	2023-06-24	6.83847	21.05729	46.56339	8.52147	3.12769	2.40169	31.86186	24.50177	77.37594	4.05209	0
U01129	2023-10-04	3.78761	25.52656	65.77538	9.57490	4.92606	1.80075	26.05999	39.25440	67.16496	11.48416	0
U01788	2023/02/07	3.38000	27.68772	60.02519	7.65037	2.92071	4.71639	28.33276	69.22605	84.25063	8.45769	0
U00421	09/20/2023, 03:04:00	7.79363	10.51298	61.90314	9.04340	4.06212	4.86969	29.12844	48.10121	76.00351	13.99127	0
U01783	2023/01/08	2.38736	13.99686	65.36364	9.68227	4.46022	3.11025	29.56299	79.15960	81.98048	6.06327	0
U01017	03/21/2023, 14:28:00	2.37923	14.96152	35.27083	8.06819	3.23245	4.11894	20.43323	59.63160	77.15701	8.96424	0
U00381	06/16/2023, 03:39:00	3.72023	19.69524	20.80865	9.51733	4.76713	1.85296	26.81728	40.29563	69.04719	10.65930	1
U00763	2023-01-16	4.00185		64.85629	8.21233	3.78545	1.77303	30.49943	51.98104	62.34400	6.63220	0
U01988	2023-11-19	5.21412	16.23689	56.61805	9.24126	4.02878	2.13747	24.86748	91.41892	76.59977	13.62234	0
U00689	2023/04/25	7.59507	11.72057	49.73167	7.30862	2.71288	0.81495	23.23279	81.13104	73.21187	8.98476	0
U00621	06/06/2023, 21:04:00	5.09394	23.51088	64.66415	8.39028	3.26697	2.89414	32.84712	66.00482	81.80870	10.71920	0
U00810	2023-01-06	3.95139	17.17649	66.40136	8.54362	3.81868	3.76247	31.16260	94.66532	79.52633	8.95284	1
U01799	29 Jan 2023	4.86676	24.31929	79.56349	8.77266	3.34310	3.76082	37.14561	90.02232	80.87690	9.78035	0
U00530	08/17/2023, 02:55:00	5.03475	12.57419	64.42675	8.98765	3.87473	3.09953	29.55649	48.42703	69.17846	13.02762	0
U01038	2023-10-18	7.29836	11.04247	51.47504	8.40268	3.36350	2.82741	24.65459	26.84986	77.15020	-4.32219	0
U00388	2023/06/05	1.88524	65.72511	43.02128	8.41825	3.30337	2.52628	23.71217	28.49553	76.54812	14.62275	1
U00040	07/13/2023, 19:09:00	2.09514	60.55088	53.75532	8.32576	3.39700	3.18860	24.29281	45.32726	64.21752	12.03118	0
U01238	2023-07-10	4.74418	21.96168	46.62316	9.22350	4.05508	3.78187	24.76220	36.48527	77.65949	6.24640	0
U00080	2023/08/04	2.50555	32.32430	57.23006	9.68943	4.61842	3.41797	36.84993	66.47962	77.68109	11.89676	0
U00109	2023/12/14	6.85704	25.08397	34.21963	8.85298	3.96461	6.46665	30.83041	13.78928	67.37498	10.39262	1
U01976	30 Aug 2023	7.27070	17.08646	48.57903	8.49333	2.88588	2.48669	29.35026	35.31295	79.02673	8.60262	0
U00018	2023/05/23	5.88054		47.30147	8.44777	3.64306	6.40298	29.80144	22.71621	78.76249	6.40166	1
U01898	2023-08-25	7.01770	20.95621	66.47015	8.22684	2.67717	2.03521	22.35439	70.41991	76.92288	15.60599	0
U00700	18 Jun 2023	8.31506	21.40887	65.96508	8.27581	3.20794	3.13521	22.51568	47.21804	74.21641	10.00316	1
U00086	01/17/2023, 06:53:00	4.04955	53.69462	75.30806	9.33993	4.62775	2.84234	28.67204	44.32075	74.06376	6.60577	0
U00791	2023-12-19	4.11077	28.99865	43.11047	7.76000	3.28061	3.06086	19.11257	65.56918	72.11881	5.39099	0
U01125	17 Nov 2023	7.65390	16.30170	48.39343	8.66426	3.34062	2.38913	29.13759	50.15378	83.71025	8.24469	0
U00677	05 Oct 2023	5.73795	23.44667	58.91296	8.53012	3.47848	1.92562	23.20278	32.70358	77.21368	7.48316	0
U01714	2023/04/03	3.45724	20.30283	51.80159	8.80354	3.52221	2.63763	37.70108	53.62144	77.39000	6.56437	0
U01956	2023/04/28	4.31257	15.99857	58.13756	8.97111	3.77601	3.52088	34.28900	55.54735	62.17842	4.91245	0
U00977	21 Nov 2023	3.14405	15.36491	74.28462	8.80038	4.43382	2.28100	28.01953	26.35925	86.41861	9.62223	0
U01217	12 Apr 2023	5.43657	25.72794	66.67359	9.64197	4.51503	1.82279	27.72550	73.83964	74.05210	12.01959	0
U00488	26 Oct 2023	1.97746	20.90350	63.24334	7.58924	3.25693	2.86414	31.90631	89.05267	72.41197	10.68031	0
U00722	2023/05/21	7.03041	18.46516	47.45418	8.62897	3.61580	1.64934	31.51538	75.62719	72.06306	9.06086	0
U01832	24 Sep 2023	4.46593	22.47492	64.69240	8.50099	3.93958	0.98253	27.09395	26.14304	80.20612	10.27366	0
U00337	2023-04-11	1.23684	20.98302	44.58381	9.38002	4.73703	2.60220	34.09447	59.42370	82.17354	12.03898	0
U00401	2023/06/03	2.18103	16.44627	66.99039	8.63286	3.54868	2.17643	27.28224	37.30775	75.75743	12.31847	0
U01471	09/26/2023, 19:44:00	2.63662	18.64538	58.05697	8.93069	4.00458	2.60648	26.00259	35.01537	73.84134	3.88639	0
U00330	09/09/2023, 05:15:00	7.76629	34.42508	40.49945	8.70839	3.63832	2.37145	21.83576	65.94889	69.67632	12.96164	0
U00096	2023/01/28	8.26327	23.91261	62.01865	9.46661	4.45982	3.31493	22.39507	45.91003	75.57204	2.70344	0
U00523	25 Dec 2023	5.91352	15.88160	50.88197	8.63344	3.56192	3.62780	29.91828	63.05953	66.33573	7.76849	0
U01598	07/15/2023, 06:11:00	4.24687	18.79392	51.63888	8.89783	3.49310	3.99787	24.22864	22.21853	72.28938	7.58188	0
U90346	06/07/2023, 06:06:00	3.16159	53.74962	59.81950	9.30387	4.58142		26.06605	22.23013	83.70332	15.00555	0
U00220	28 Oct 2023	6.97556	24.08719	61.71096	9.14384	3.95842	4.43111	27.23319	14.15117	81.70694	8.05823	0
U00064	2023/11/23	9.28954	14.75252	51.89386	8.12832	3.99131	3.23618	28.15623		78.56368	5.84665	0
U01337	25 May 2023	4.02301	13.84657	40.44299	7.73858	2.87461	2.53316	25.55198	56.44043	73.07067	7.61255	0
U01434	01/10/2023, 04:26:00	6.69275	35.27777	59.13275	8.87928	3.49754	3.16010	30.16010	48.85900	80.95066	7.28324	0
U01143	24 Jan 2023	3.82630	17.09303	61.06785	8.22285	3.57736	1.34512	23.91279	13.27875	80.36145	5.43710	0
U00771	19 Aug 2023	3.22085	31.39800	41.62201	7.98198	3.05503	1.53192	22.33806	82.24549	69.22594	5.17987	0
U01199	2023/01/08	3.68583	10.30005	70.04344	8.47494	3.39419		28.71258	76.81105	72.28839	10.50026	1
U01593	11/26/2023, 02:51:00	7.99028	29.08928	51.00918	8.25472	3.45340	2.72449	25.97853	10.83238	64.18530	11.49548	1
U01513	2023/07/22	2.25452	12.76668	60.82327	9.22850	4.21014	1.97161	33.91270	73.68677	75.34374	8.09437	0
U00292	2023-05-27	6.36759	22.70063	40.70216	9.35821	4.17848	1.69682	26.18125	27.87021	88.23021	1.37260	0
U01210	02 May 2023	5.26870	10.55415	66.84359	8.31155	3.14831	2.75831	26.69521	77.70040	74.44635	9.13362	0
U00190	2023/09/20	2.61524	17.02649	66.11540	8.48345	3.63794	5.37211	32.00483	11.48685	75.47603	10.86025	0
U01811	2023-04-14	3.74937	12.70105	58.77749	9.10078	4.48171	4.45729	28.01117	46.34989	68.19956	10.64041	0
U01971	2023/02/09	3.18079	28.20542	69.64320	9.92852	4.97421	1.84572	33.27104	88.50394	82.83524	6.16051	0
U01836	09/15/2023, 12:59:00	7.99764	18.78714	51.90948	8.26526	3.22781	3.07706	22.51858	38.15230	73.86263	4.31456	0
U00725	05/28/2023, 06:31:00	3.27850	29.48072	55.48201	8.29571	3.65744	3.38274	31.67090	84.42663	75.42187	10.12742	0
U01776	08 Oct 2023	3.43278		61.82107	8.85722	4.02698		24.25969	54.62213	83.25880	8.45251	1
U01169	28 Apr 2023	3.00888	24.38761	50.71502	9.22827	3.88050	4.40008	31.09013	92.89982	88.91218	10.68489	0
U00930	2023-03-29	5.36914	11.12329	56.61994	8.48371	3.85377	1.18062	25.76517	31.56055	68.94849	16.08331	0
U00819	2023/03/08	3.05913	16.62563	56.68064	8.42857	3.42242	2.57855	36.65133	24.17139	83.97053	7.16723	0
U01598	11 Jan 2023	99.00000		38.47932	7.76710	3.03586	2.37518	26.46990	84.75349	77.05476	3.57029	1
U00909	2023/10/26	3.97307	32.41062	59.04181	7.88437	2.87595	1.25627	30.22325	64.82186	79.92880	6.43337	0
U01950	10/07/2023, 09:37:00	3.62039	26.62175	73.71362	9.22460	4.11672	2.67764	24.68708	12.42122	76.96231	7.91076	0
U01918	04/23/2023, 02:02:00	8.04156	19.15714	71.84405	8.56279	3.69836	5.98842	24.76075	30.30633	78.72457	13.47292	0
U00001	2023-11-29	8.16046	9.92880	59.34156	10.05401	4.97593	4.05906	26.58093	32.03307	71.97550	10.15067	0
U01582	2023/08/09	6.14888	35.11380	33.88731	8.15210	2.75672	5.90987	32.55962	69.36372	82.99216	7.40642	0
U01445	03/03/2023, 17:43:00	8.26679	24.61656	52.14711	9.42088	3.87044	4.69943	24.88439	65.91390	75.18329	8.42870	0
U01045	04 Jun 2023	2.92416	34.48220	59.69639	8.88382	3.46341	1.53906	32.39438	54.96755	67.39169	1.71382	0
U01992	2023/03/30	3.96140	34.51230	38.60706	8.08693	3.00237	3.05030	32.34108	22.39111	73.31792	7.07397	0
U01508	12/09/2023, 05:07:00	5.31731	16.58008	56.37051	8.82534	3.72313	2.18786	19.56837	84.50957	80.49930	11.30160	0
U01148	01/20/2023, 00:33:00	4.27777	47.46937	43.45275	9.28787	4.46040	5.02007	31.85003	78.12952	85.05345	7.20195	1
U00832	2023-06-29	6.48882	12.10249	52.51038	9.83015	4.77854	3.81282	22.09953	25.38188	76.76045	7.03142	0
U01274	12/07/2023, 22:27:00	2.32370	17.64948	41.77976	9.31240	4.57629	1.36451	30.79267	20.94125	70.22884	0.51574	0
U00274	2023/04/08	4.46536	28.62136	52.40139	8.67445	3.24078	7.92418	30.41685	84.50343	71.96022	11.09006	0
U01387	2023/08/16	5.95456	24.34104	46.41776	8.11357	3.02489	4.54119	30.17789		67.91785	10.79634	0
U00607	2023/10/05	5.43580	21.78439	59.11975	8.36587	3.06676	2.18628	36.07444	61.76555	75.40621	8.66792	0
U01699	04/20/2023, 23:50:00	2.12558	35.96689	66.72447	8.42932	3.44396	1.63524	32.04411	40.27947	74.14394	-0.98976	0
U01606	2023/12/16	4.66659	20.49204	59.47296	7.93640	3.57018	4.02395	33.79342		69.66449	7.70563	0
U01645	05/13/2023, 01:00:00	3.07850	24.22923	49.34475	9.32801	4.24714	3.46430	29.62990	65.81509	66.71707	5.13405	0
U01781	08/21/2023, 19:41:00	7.16707	20.23540	42.84461	8.91453	3.90578	3.65608	18.10436	64.09334	70.23062	6.54142	0
U00097	2023-07-26	7.44832	33.59782	54.99369	7.81994	3.08422	7.61541	22.89594	31.22905	78.50844	14.38555	0
U01858	2023/01/05	6.68092	52.90051	49.27153	9.28915	4.21886	2.85364	27.00210	22.58791	75.31999	12.14925	0
U00257	06/05/2023, 13:27:00	2.76541	12.92469	39.70280	8.26567	3.21360	2.48484	26.16287	15.36782	76.27146	7.36397	0
U00468	2023/10/07	2.94557	30.10774	56.60760	10.11280	4.48447	1.29748	21.69603	42.79943	77.46220	4.36521	0
U01962	10/19/2023, 15:52:00	3.05200	55.15426	80.71368	8.13165	3.15458	1.50655	31.37375	64.69890	76.01292	8.57938	0
U01621	2023-12-08	3.67910	34.88601	51.19719	8.40762	3.31052	3.17098	25.11044	93.27146	76.96532	9.89845	0
U00846	26 Jan 2023	4.06236		77.06166	8.57548	3.64268	5.07598	30.92960	25.88037	69.23645	15.63762	1
U01057	06/07/2023, 12:45:00	5.21603	22.48321	49.24262	8.75861	3.23631	4.50386	27.77256	89.35932	73.08879	7.98441	0
U01243	2023/10/11	2.32180	15.33049	75.24252	8.62816	3.12024	1.99119	26.69755	37.50853	77.00623	1.88335	0
U00743	2023/02/17	8.40830	16.21064	39.13377	7.60161	2.86336	3.72353	31.69201	41.39803	69.68978	5.18224	0
U01031	21 Mar 2023	2.29390	13.08864	74.73864	8.57159	3.24876	3.60031	27.16506	86.03892	70.27233	3.59432	0
U01650	20 May 2023	6.83039	17.76975	28.86085	8.00629	2.80530	3.64599	19.46567	47.36942	73.41242	10.56771	0
U01474	2023-06-26	3.78093	19.85881	29.19490	7.70608	2.70999	1.74754	29.01974	27.30913	80.95281	6.08664	0
U00311	2023-07-13	5.76298	22.23223	63.46854	8.20917	3.05443	1.16489	32.70234	78.93369	73.74176	5.68636	0
U01508	2023-02-28	4.35865	30.27867	69.86587	9.03205	3.84258	2.75475	28.39379		83.24119	15.92112	0
U00319	28 Sep 2023	6.89493	21.48780	53.17491	9.62726	4.64619	1.68670	28.57050	91.35498	80.97897	7.91811	0
